,_id,casosAcumulado,obitosAcumulado,casosNovos,obitosNovos
0,26/02,1,0,0,0
1,27/02,1,0,0,0
2,28/02,1,0,0,0
3,29/02,2,0,1,0
4,01/03,2,0,0,0
5,02/03,2,0,0,0
6,03/03,2,0,0,0
7,04/03,3,0,1,0
8,05/03,7,0,4,0
9,06/03,13,0,6,0
10,07/03,19,0,6,0
11,08/03,25,0,6,0
12,09/03,25,0,0,0
13,10/03,34,0,9,0
14,11/03,52,0,18,0
15,12/03,77,0,25,0
16,13/03,98,0,21,0
17,14/03,121,0,23,0
18,15/03,200,0,79,0
19,16/03,234,0,34,0
20,17/03,291,1,57,1
21,18/03,428,4,137,3
22,19/03,621,6,193,2
23,20/03,904,11,283,5
24,21/03,1128,18,224,7
25,22/03,1546,25,418,7
26,23/03,1891,34,345,9
27,24/03,2201,46,310,12
28,25/03,2433,57,232,11
29,26/03,2915,77,482,20
30,27/03,3417,92,502,15
31,28/03,3912,114,495,22
32,29/03,4269,136,357,22
33,30/03,4589,159,320,23
34,31/03,5744,201,1155,42
35,01/04,6840,242,1096,41
36,02/04,7911,299,1071,57
37,03/04,9095,359,1184,60
38,04/04,10298,432,1203,73
39,05/04,11132,486,834,54
40,06/04,12066,555,934,69
41,07/04,13862,679,1796,124
42,08/04,16037,814,2175,135
43,09/04,17886,943,1849,129
44,10/04,19730,1065,1844,122
45,11/04,20818,1131,1088,66
46,12/04,22206,1225,1388,94
47,13/04,23604,1333,1398,108
48,14/04,25371,1541,1767,208
49,15/04,28532,1745,3161,204
50,16/04,30449,1933,1917,188
51,17/04,33759,2143,3310,210
52,18/04,36739,2359,2980,216
53,19/04,38688,2468,1949,109
54,20/04,40616,2584,1928,116
55,21/04,43131,2751,2515,167
56,22/04,45976,2917,2845,166
57,23/04,49711,3320,3735,403
58,24/04,53448,3688,3737,368
59,25/04,58973,4047,5525,359
60,26/04,62208,4244,3235,197
61,27/04,66541,4554,4333,310
62,28/04,72149,5050,5608,496
63,29/04,78416,5484,6267,434
64,30/04,85507,5912,7091,428
65,01/05,91604,6354,6097,442
66,02/05,96559,6750,4955,396
67,03/05,101227,7044,4668,294
68,04/05,107780,7321,6553,277
69,05/05,114715,7921,6935,600
70,06/05,125218,8536,10503,615
71,07/05,135106,9146,9888,610
72,08/05,145328,9897,10222,751
73,09/05,155939,10627,10611,730
74,10/05,162699,11123,6760,496
75,11/05,168331,11519,5632,396
76,12/05,177589,12400,9258,881
77,13/05,188974,13149,11385,749
